country,beer_servings,spirit_servings,wine_servings,Total Alcohol,Rainfall,Rainfall 2,unemployment rate,Population,GDP,Literacy,Temp,Region,Island
Peru,163,160,21,6.1,1513.242119,59.57649355,2.5,30973148,2.03E+11,94.3743515,19.45650895,South America,0
Philippines,71,186,1,4.6,2317.592695,91.24385616,4.5,99138690,2.85E+11,96.61802673,25.32667419,East Asia,1
Poland,343,215,56,10.9,600.6590956,23.64800866,4.199999809,38011735,5.45E+11,99.78742218,7.868831915,Europe,0
Portugal,194,67,339,11,835.3468323,32.88768832,7.099999905,10401062,2.30E+11,95.42810822,14.97038087,Europe,0
Qatar,1,42,7,0.9,1987.505981,78.24830922,7.784924748,2172065,2.10E+11,97.75708771,21.07600021,Middle East,0
Romania,297,122,167,10.4,642.2083626,25.28380746,14.30000019,19908979,1.99E+11,98.75702667,8.811245525,Europe,0
Russian Federation,247,326,73,11.5,434.7952136,17.11793104,0.300000012,143819569,2.03E+12,99.71956635,-6.321294479,Europe,0
Rwanda,43,2,0,6.8,1162.803558,45.77969236,7,11341544,7912161660,71.24349976,19.01189995,Sub-Saharan Africa,0
Samoa,105,18,24,2.6,2850,112.204785,5.099999905,191845,800418989.6,99.01500702,26,Pacific,1
Sao Tome & Principe,56,38,140,4.2,1760.8,69.32287208,16.7,193933,15657551477,69.7,24.5,East Africa,1
Saudi Arabia,0,5,0,0.1,73.4034506,2.88990119,5.5,30886545,7.54E+11,94.84236908,24.65100734,Middle East,0
Senegal,9,1,7,0.3,701.1008162,27.60240924,10.3,14672557,15657551477,55.62485123,27.87320583,East Africa,0
Serbia,283,131,127,9.6,726.4636585,28.60094688,5.599999905,7130576,44210806366,98.00289154,10.17899356,Europe,0
Seychelles,157,25,51,4.1,2172,85.5118572,10,91400,1422530792,95.32108307,27.2,East Africa,1
Sierra Leone,25,3,2,6.7,2471.720894,97.31189877,22.20000076,6315627,5005662071,48.43190002,26.0437999,East Africa,0
Singapore,60,12,11,1.5,543.0101538,21.37836406,2.1,5469724,3.06E+11,96.77462769,-9.142713983,East Asia,0
Slovakia,196,293,116,11.4,767.5163105,30.2171939,3,5418649,1.00E+11,99.6,7.269396131,Europe,0
Slovenia,270,51,276,10.6,1361.806763,53.61446844,9.6,2061980,49491396798,99.71475983,8.04021112,Europe,0
Solomon Islands,56,11,1,1.2,3157.369019,124.305934,9.5,572171,1158190175,84.1,25.67630043,Pacific,1
South Africa,225,76,81,8.2,474.7761528,18.69198461,3.900000095,54058647,3.50E+11,94.59793854,17.59687334,Sub-Saharan Africa,0
South Korea,140,16,9,9.8,1491.6,58.72444116,9.199999809,1721152580,2.58E+12,99,14.9,East Asia,0
Spain,284,157,112,10,622.9870638,24.527063,3.898770718,46480882,1.38E+12,98.11450958,13.02547607,Europe,0
Sri Lanka,16,104,0,2.2,1699.407282,66.90583463,4.6,20771000,80028186275,92.61416626,26.75522735,East Asia,1
Sudan,8,13,0,1.7,234.036379,9.214035645,7.970089909,39350274,73814947341,58.60131836,26.82433383,Sub-Saharan Africa,0
Suriname,128,178,7,5.6,2316.810265,91.21305181,7.970089909,538248,5210303030,95.53898621,25.76608164,South America,0
Swaziland,90,2,2,4.7,798.3706787,31.43193346,14.80000019,1269112,4412891833,87.47019196,20.41380005,Sub-Saharan Africa,0
Sweden,152,60,186,7.2,621.1503333,24.45475074,5.599999905,9696110,5.71E+11,99,1.546350562,Europe,0
Switzerland,185,100,280,10.2,1646.412455,64.81942299,22.29999924,8188649,7.01E+11,99,4.749057397,Europe,0
Tajikistan,2,15,0,0.3,492.0226497,19.37098092,4.5,8295840,9236309138,99.78105164,3.025248465,Central Asia,0
Tanzania,36,6,1,5.7,1052.383574,41.43244655,10.80000019,51822621,48030400964,80.35949707,22.30580982,Sub-Saharan Africa,0
Thailand,99,258,1,6.4,1532.476545,60.33375482,10.89999962,67725979,4.04E+11,93.98301697,26.24988821,East Asia,0
Timor-Leste,1,1,4,0.1,1239.773763,48.81001703,3.099999905,1212107,1371172833,64.06613922,24.96599992,Pacific,1
Togo,36,2,19,1.3,1189.114156,46.81554323,0.899999976,7115163,4482535926,66.53759003,26.79911137,Sub-Saharan Africa,0
Tonga,36,21,5,1.1,1721,67.7559421,4.699999809,105586,434386306.6,99.39785767,23.7,Pacific,1
Trinidad and Tobago,197,156,7,6.4,1831.406982,72.10267602,6.900000095,10996600,47603227897,98.9695816,25.8625002,Caribbean,1
Tunisia,51,3,20,1.3,267.0875098,10.51526197,15.5,10996600,47603227897,81.05419159,19.36345617,North Africa,0
Turkey,51,22,7,1.4,573.2831308,22.57021419,4,77523788,7.99E+11,95.68810272,10.93360648,Central Asia,0
Turkmenistan,19,71,32,2.2,156.7518957,6.171337809,13.30000019,5307188,43485614035,99.69293213,15.21978049,Central Asia,0
Tuvalu,6,41,9,1,3388,133.3858988,10.5,9893,37859554.46,49.7,27,Pacific,1
Uganda,45,9,0,8.3,1207.895434,47.55496403,2.6,37782971,26998477707,73.80983734,22.59584155,Sub-Saharan Africa,0
Ukraine,206,237,45,8.9,561.7888003,22.11768125,9,45362900,1.32E+11,99.76410675,8.205565565,Europe,0
United Arab Emirates,16,135,5,2.8,67.81202548,2.669766224,4.2,9086139,3.99E+11,92.98636627,26.82560888,Middle East,0
United Kingdom,219,126,195,10.4,1154.299742,45.44489627,3.799999952,64613160,2.99E+12,99,8.310239139,Europe,0
Uruguay,115,35,220,6.6,1250.477267,49.23141505,6.199999809,3419516,57235766827,98.44210052,17.5674857,South America,0
United States of America,249,158,84,8.7,654.5366726,25.76917425,4.9,318907401,1.73E+13,99,6.754627068,North America,0
Uzbekistan,25,101,8,2.4,191.8216232,7.552036488,5.896019567,30757700,63132848445,99.99519348,12.51938331,Central Asia,0
Vanuatu,21,18,11,0.9,2100,82.67721,7,258883,828200000,72,24,Pacific,1
Venezuela,333,100,3,7.7,2662.110107,104.8075411,10.60000038,30693827,4.38E+11,85.05867767,23.84049988,South America,0
Vietnam,111,2,1,2,1835.160793,72.25046394,1.6,90728900,1.86E+11,94.51426697,24.06964913,East Asia,0
Yemen,6,0,0,0.1,2131.4729,83.91630122,38.8,26183676,35950000000,49,25.74300003,Middle East,0
Zambia,32,19,4,2.5,1004.753196,39.5572338,5.932298644,15721343,"27,134,637,888.44",60.5,21.58413197,Sub-Saharan Africa,0
Zimbabwe,64,18,4,4.7,668.974773,26.33760371,17.39999962,15245855,14196912500,91,21.03138971,Sub-Saharan Africa,0
